record_id,catalog_name,catalog_year,index_type,index_term,category,historical_printed_pages,catalog_record_status,product_lifecycle_status,current_newark_search_status,current_newark_search_url,extraction_confidence
NWK112-IDX-0019,Newark Electronics Catalog 112,1992,Product Index,"Cable Assemblies, Modular",Cable Assemblies,"823, 887, 917",Obsolete,Unverified,Not Queried,"https://www.newark.com/search?st=Cable%20Assemblies,%20Modular",Medium
NWK112-IDX-0020,Newark Electronics Catalog 112,1992,Product Index,"Cable Assemblies, Network Patch",Cable Assemblies,884,Obsolete,Unverified,Not Queried,"https://www.newark.com/search?st=Cable%20Assemblies,%20Network%20Patch",Medium
NWK112-IDX-0021,Newark Electronics Catalog 112,1992,Product Index,"Cable Assemblies, RS-232 25-Pin",Cable Assemblies,894,Obsolete,Unverified,Not Queried,"https://www.newark.com/search?st=Cable%20Assemblies,%20RS-232%2025-Pin",Medium
NWK112-IDX-0022,Newark Electronics Catalog 112,1992,Product Index,"Cable Assemblies, SCSI",Cable Assemblies,"600, 890",Obsolete,Unverified,Not Queried,"https://www.newark.com/search?st=Cable%20Assemblies,%20SCSI",Medium
NWK112-IDX-0023,Newark Electronics Catalog 112,1992,Product Index,"Cable Assemblies, Token Ring",Cable Assemblies,884,Obsolete,Unverified,Not Queried,"https://www.newark.com/search?st=Cable%20Assemblies,%20Token%20Ring",Medium
NWK112-IDX-0024,Newark Electronics Catalog 112,1992,Product Index,"Cable Assemblies, Twinaxial",Cable Assemblies,"819, 821, 834, 857, 872, 886",Obsolete,Unverified,Not Queried,"https://www.newark.com/search?st=Cable%20Assemblies,%20Twinaxial",Medium
NWK112-IDX-0025,Newark Electronics Catalog 112,1992,Product Index,"Cable Assemblies, Y Cable",Cable Assemblies,885,Obsolete,Unverified,Not Queried,"https://www.newark.com/search?st=Cable%20Assemblies,%20Y%20Cable",Medium
NWK112-IDX-0026,Newark Electronics Catalog 112,1992,Product Index,Labels,Wire Marking / Identification,"928, 929, 952, 961",Obsolete,Unverified,Not Queried,https://www.newark.com/search?st=Labels,Medium
NWK112-IDX-0027,Newark Electronics Catalog 112,1992,Product Index,"Lamp Bases, Cartridges",Lamps / Indicators,"982, 983",Obsolete,Unverified,Not Queried,"https://www.newark.com/search?st=Lamp%20Bases,%20Cartridges",Medium
NWK112-IDX-0028,Newark Electronics Catalog 112,1992,Product Index,LAN Interconnect Products,Computer / Network Accessories,"887, 888, 889",Obsolete,Unverified,Not Queried,https://www.newark.com/search?st=LAN%20Interconnect%20Products,Medium
NWK112-IDX-0029,Newark Electronics Catalog 112,1992,Product Index,Latching Relays,Relays,"421, 466, 472, 483",Obsolete,Unverified,Not Queried,https://www.newark.com/search?st=Latching%20Relays,Medium
NWK112-IDX-0030,Newark Electronics Catalog 112,1992,Product Index,LCD Display Assemblies,Displays / Indicators,982-983,Obsolete,Unverified,Not Queried,https://www.newark.com/search?st=LCD%20Display%20Assemblies,Medium
NWK112-IDX-0031,Newark Electronics Catalog 112,1992,Product Index,LCR Meters,Test Instruments,1131,Obsolete,Unverified,Not Queried,https://www.newark.com/search?st=LCR%20Meters,Medium
NWK112-IDX-0032,Newark Electronics Catalog 112,1992,Product Index,Lead Bender/Crimpers,Tools,1088,Obsolete,Unverified,Not Queried,https://www.newark.com/search?st=Lead%20Bender%2FCrimpers,Medium
NWK112-IDX-0033,Newark Electronics Catalog 112,1992,Product Index,LED Accessories,LEDs / Optoelectronics,982-983,Obsolete,Unverified,Not Queried,https://www.newark.com/search?st=LED%20Accessories,Medium
NWK112-IDX-0034,Newark Electronics Catalog 112,1992,Product Index,LEDs,LEDs / Optoelectronics,982-983,Obsolete,Unverified,Not Queried,https://www.newark.com/search?st=LEDs,Medium
NWK112-IDX-0035,Newark Electronics Catalog 112,1992,Product Index,Lens Caps,Lamps / Indicators,982-983,Obsolete,Unverified,Not Queried,https://www.newark.com/search?st=Lens%20Caps,Medium
NWK112-IDX-0036,Newark Electronics Catalog 112,1992,Product Index,Light Meters,Test Instruments,1113,Obsolete,Unverified,Not Queried,https://www.newark.com/search?st=Light%20Meters,Medium
NWK112-IDX-0037,Newark Electronics Catalog 112,1992,Product Index,Line Cord Assemblies,Cable Assemblies,"734, 887, 888, 891, 917, 920, 921, 924",Obsolete,Unverified,Not Queried,https://www.newark.com/search?st=Line%20Cord%20Assemblies,Medium
NWK112-IDX-0038,Newark Electronics Catalog 112,1992,Product Index,Linear Motion Sensors,Sensors,232,Obsolete,Unverified,Not Queried,https://www.newark.com/search?st=Linear%20Motion%20Sensors,Medium
NWK112-IDX-0039,Newark Electronics Catalog 112,1992,Product Index,Linear Power Supplies,Power Supplies,"532, 535",Obsolete,Unverified,Not Queried,https://www.newark.com/search?st=Linear%20Power%20Supplies,Medium
NWK112-IDX-0040,Newark Electronics Catalog 112,1992,Product Index,"Linears, Semiconductors",Semiconductors / Linear ICs,"81, 82, 101, 106, 108, 114, 115",Obsolete,Unverified,Not Queried,"https://www.newark.com/search?st=Linears,%20Semiconductors",Medium
NWK112-IDX-0041,Newark Electronics Catalog 112,1992,Product Index,Liquid Dispensers,Chemicals / Tools,"1009, 1085",Obsolete,Unverified,Not Queried,https://www.newark.com/search?st=Liquid%20Dispensers,Medium
NWK112-IDX-0042,Newark Electronics Catalog 112,1992,Product Index,Lockout Products,Safety / Lockout,928,Obsolete,Unverified,Not Queried,https://www.newark.com/search?st=Lockout%20Products,Medium
NWK112-IDX-0043,Newark Electronics Catalog 112,1992,Product Index,"Logic, CMOS",Semiconductors / Logic,"65, 66, 67, 97, 98",Obsolete,Unverified,Not Queried,"https://www.newark.com/search?st=Logic,%20CMOS",Medium
NWK112-IDX-0044,Newark Electronics Catalog 112,1992,Product Index,Logic Probes,Test Instruments,"1088, 1132, 1144",Obsolete,Unverified,Not Queried,https://www.newark.com/search?st=Logic%20Probes,Medium
NWK112-IDX-0045,Newark Electronics Catalog 112,1992,Product Index,"Logic, Schottky",Semiconductors / Logic,"65, 66, 111, 112, 113, 123",Obsolete,Unverified,Not Queried,"https://www.newark.com/search?st=Logic,%20Schottky",Medium
NWK112-IDX-0046,Newark Electronics Catalog 112,1992,Product Index,Loudspeakers,Audio,"1169, 1170, 1172, 1173, 1175, 1177",Obsolete,Unverified,Not Queried,https://www.newark.com/search?st=Loudspeakers,Medium
NWK112-IDX-0047,Newark Electronics Catalog 112,1992,Product Index,Lubricants,Chemicals,"1009, 1011, 1013, 1015",Obsolete,Unverified,Not Queried,https://www.newark.com/search?st=Lubricants,Medium
NWK112-IDX-0048,Newark Electronics Catalog 112,1992,Product Index,Magnifiers,Tools / Inspection,"1063, 1116, 1119",Obsolete,Unverified,Not Queried,https://www.newark.com/search?st=Magnifiers,Medium
NWK112-IDX-0049,Newark Electronics Catalog 112,1992,Product Index,Microcomputers,Semiconductors / Microcomputers,"63, 119",Obsolete,Unverified,Not Queried,https://www.newark.com/search?st=Microcomputers,Medium
NWK112-IDX-0050,Newark Electronics Catalog 112,1992,Product Index,Microcontrollers,Semiconductors / Microcontrollers,"122, 123, 126",Obsolete,Unverified,Not Queried,https://www.newark.com/search?st=Microcontrollers,Medium
NWK112-IDX-0051,Newark Electronics Catalog 112,1992,Product Index,Microprocessors,Semiconductors / Microprocessors,"63, 100, 119, 122, 124, 125",Obsolete,Unverified,Not Queried,https://www.newark.com/search?st=Microprocessors,Medium
NWK112-IDX-0052,Newark Electronics Catalog 112,1992,Product Index,Wire Cutters,Tools,1107,Obsolete,Unverified,Not Queried,https://www.newark.com/search?st=Wire%20Cutters,Medium
NWK112-IDX-0053,Newark Electronics Catalog 112,1992,Product Index,Wire Gauges,Tools,1116,Obsolete,Unverified,Not Queried,https://www.newark.com/search?st=Wire%20Gauges,Medium
NWK112-IDX-0054,Newark Electronics Catalog 112,1992,Product Index,Wire Markers,Wire Marking / Identification,"928, 1109",Obsolete,Unverified,Not Queried,https://www.newark.com/search?st=Wire%20Markers,Medium
NWK112-IDX-0055,Newark Electronics Catalog 112,1992,Product Index,Wire Strippers,Tools / Wire Handling,"863, 911, 948, 955, 970, 1110, 1111, 1114, 1115, 1118",Obsolete,Unverified,Not Queried,https://www.newark.com/search?st=Wire%20Strippers,Medium
NWK112-IDX-0056,Newark Electronics Catalog 112,1992,Product Index,Wiring Devices,Wiring Hardware,764-768,Obsolete,Unverified,Not Queried,https://www.newark.com/search?st=Wiring%20Devices,Medium
NWK112-IDX-0057,Newark Electronics Catalog 112,1992,Product Index,Wiring Duct,Wire Management,"763, 926, 927, 937, 952, 959, 960",Obsolete,Unverified,Not Queried,https://www.newark.com/search?st=Wiring%20Duct,Medium
NWK112-IDX-0058,Newark Electronics Catalog 112,1992,Product Index,Wrist Straps,Static Control,"172, 175, 1029",Obsolete,Unverified,Not Queried,https://www.newark.com/search?st=Wrist%20Straps,Medium
NWK112-IDX-0059,Newark Electronics Catalog 112,1992,Product Index,XLR Style Connectors,Audio / Connectors,"739, 748",Obsolete,Unverified,Not Queried,https://www.newark.com/search?st=XLR%20Style%20Connectors,Medium
NWK112-IDX-0060,Newark Electronics Catalog 112,1992,Product Index,Zener Diodes,Semiconductors / Diodes,"145, 147",Obsolete,Unverified,Not Queried,https://www.newark.com/search?st=Zener%20Diodes,Medium
NWK112-IDX-0061,Newark Electronics Catalog 112,1992,Product Index,Zero Insertion Force Sockets,Sockets,"666, 774, 775, 784, 793",Obsolete,Unverified,Not Queried,https://www.newark.com/search?st=Zero%20Insertion%20Force%20Sockets,Medium
NWK112-IDX-0062,Newark Electronics Catalog 112,1992,Product Index,Zipper Tubing,Wire and Cable Accessories,867,Obsolete,Unverified,Not Queried,https://www.newark.com/search?st=Zipper%20Tubing,Medium
