record_id,catalog_name,catalog_year,catalog_record_status,catalog_status_reason,product_lifecycle_status,current_replacement_status,price_status,category,product_name,manufacturer,newark_stock_no,manufacturer_part_no_or_type,author_or_creator,variant,pack_quantity,historical_price_usd,description,source_pdf_page,source_printed_page,extraction_confidence,notes
NWK112-0032,Newark Electronics Catalog 112,1992,Obsolete,Historical catalog listing from 1992; listing and catalog price are no longer current.,Unverified,Unverified,Historical,Publications > Electronics Books,Op-Amp Circuits and Principles,Howard W. Sams / Sams,50F6728,,,,1,39.95,Technical electronics or computer reference book listed in the Newark catalog.,25,7,High,
NWK112-0033,Newark Electronics Catalog 112,1992,Obsolete,Historical catalog listing from 1992; listing and catalog price are no longer current.,Unverified,Unverified,Historical,Publications > Electronics Books,RF Circuit Design,Howard W. Sams / Sams,89F3125,,Christopher Bowick,,1,24.95,Technical electronics or computer reference book listed in the Newark catalog.,25,7,High,
NWK112-0034,Newark Electronics Catalog 112,1992,Obsolete,Historical catalog listing from 1992; listing and catalog price are no longer current.,Unverified,Unverified,Historical,Publications > Electronics Books,"Sound System Engineering, Second Edition",Howard W. Sams / Sams,50F8706,,Don Davis and Carolyn Davis,,1,49.95,Technical electronics or computer reference book listed in the Newark catalog.,25,7,High,
NWK112-0035,Newark Electronics Catalog 112,1992,Obsolete,Historical catalog listing from 1992; listing and catalog price are no longer current.,Unverified,Unverified,Historical,Publications > Electronics Books,"Understanding IC Operational Amplifiers, Third Edition",Howard W. Sams / Sams,89F3098,,Melen and Garland,,1,12.95,Technical electronics or computer reference book listed in the Newark catalog.,25,7,High,
NWK112-0036,Newark Electronics Catalog 112,1992,Obsolete,Historical catalog listing from 1992; listing and catalog price are no longer current.,Unverified,Unverified,Historical,Publications > Electronics Books,"Interfacing to the IBM Personal Computer, Second Edition",Howard W. Sams / Sams,50F9559,,Lewis Eggebrecht,,1,24.95,Technical electronics or computer reference book listed in the Newark catalog.,25,7,High,
NWK112-0037,Newark Electronics Catalog 112,1992,Obsolete,Historical catalog listing from 1992; listing and catalog price are no longer current.,Unverified,Unverified,Historical,Publications > Electronics Books,PC Peripherals Maintenance Guide,Howard W. Sams / Sams,50F9560,,George Rutkowski and Bruce Skubon,,1,39.95,Technical electronics or computer reference book listed in the Newark catalog.,25,7,High,
NWK112-0038,Newark Electronics Catalog 112,1992,Obsolete,Historical catalog listing from 1992; listing and catalog price are no longer current.,Unverified,Unverified,Historical,Publications > Electronics Books,Semiconductor Cross Reference Data Book,Howard W. Sams / Sams,50F1287,,Howard Sams Engineering Staff,,1,19.95,Technical electronics or computer reference book listed in the Newark catalog.,25,7,High,
NWK112-0039,Newark Electronics Catalog 112,1992,Obsolete,Historical catalog listing from 1992; listing and catalog price are no longer current.,Unverified,Unverified,Historical,Publications > Electronics Books,Transformers and Motors,Howard W. Sams / Sams,51F1344,,George Schultz,,1,24.95,Technical electronics or computer reference book listed in the Newark catalog.,25,7,High,
NWK112-0040,Newark Electronics Catalog 112,1992,Obsolete,Historical catalog listing from 1992; listing and catalog price are no longer current.,Unverified,Unverified,Historical,Publications > Electronics Books,"Understanding Microprocessors, Third Edition",Howard W. Sams / Sams,50F6724,,Don Cannon,,1,24.95,Technical electronics or computer reference book listed in the Newark catalog.,25,7,High,
NWK112-0041,Newark Electronics Catalog 112,1992,Obsolete,Historical catalog listing from 1992; listing and catalog price are no longer current.,Unverified,Unverified,Historical,Publications > Electronics Books,"Understanding Telephone Electronics, Third Edition",Howard W. Sams / Sams,50F9561,,John Fike and George Friend; revised by Stephen Bigelow,,1,24.95,Technical electronics or computer reference book listed in the Newark catalog.,25,7,High,
NWK112-0042,Newark Electronics Catalog 112,1992,Obsolete,Historical catalog listing from 1992; listing and catalog price are no longer current.,Unverified,Unverified,Historical,Publications > Electronics Books,Macintosh Printer Secrets,Howard W. Sams / Sams,50F8705,,Larry Pina,,1,34.95,Technical electronics or computer reference book listed in the Newark catalog.,25,7,High,
NWK112-0043,Newark Electronics Catalog 112,1992,Obsolete,Historical catalog listing from 1992; listing and catalog price are no longer current.,Unverified,Unverified,Historical,Publications > Electronics Books,"Principles of Digital Audio, Second Edition",Howard W. Sams / Sams,90F1915,,Ken Pohlmann,,1,29.95,Technical electronics or computer reference book listed in the Newark catalog.,25,7,High,
NWK112-0044,Newark Electronics Catalog 112,1992,Obsolete,Historical catalog listing from 1992; listing and catalog price are no longer current.,Unverified,Unverified,Historical,Publications > Electronics Books,The Waite Group's QuickC Bible,Howard W. Sams / Sams,90F3448,,Naba Barkakati,,1,29.95,Technical electronics or computer reference book listed in the Newark catalog.,25,7,High,
NWK112-0045,Newark Electronics Catalog 112,1992,Obsolete,Historical catalog listing from 1992; listing and catalog price are no longer current.,Unverified,Unverified,Historical,Publications > Electronics Books,"Understanding Data Communications, Third Edition",Howard W. Sams / Sams,50F8707,,Gilbert Held,,1,19.95,Technical electronics or computer reference book listed in the Newark catalog.,25,7,High,
NWK112-0046,Newark Electronics Catalog 112,1992,Obsolete,Historical catalog listing from 1992; listing and catalog price are no longer current.,Unverified,Unverified,Historical,Publications > Electronics Books,"Understanding Digital Troubleshooting, Third Edition",Howard W. Sams / Sams,50F8708,,Don Cannon,,1,19.95,Technical electronics or computer reference book listed in the Newark catalog.,25,7,High,
NWK112-0047,Newark Electronics Catalog 112,1992,Obsolete,Historical catalog listing from 1992; listing and catalog price are no longer current.,Unverified,Unverified,Historical,Publications > Electronics Books,"Understanding Solid-State Electronics, Fifth Edition",Howard W. Sams / Sams,50F6730,,Don Cannon,,1,19.95,Technical electronics or computer reference book listed in the Newark catalog.,25,7,High,
NWK112-0048,Newark Electronics Catalog 112,1992,Obsolete,Historical catalog listing from 1992; listing and catalog price are no longer current.,Unverified,Unverified,Historical,Publications > Electronics Books,Microcomputer Troubleshooting and Repair,Howard W. Sams / Sams,50F6696,,John Stephenson and Bob Cahill,,1,24.95,Technical electronics or computer reference book listed in the Newark catalog.,25,7,High,
NWK112-0049,Newark Electronics Catalog 112,1992,Obsolete,Historical catalog listing from 1992; listing and catalog price are no longer current.,Unverified,Unverified,Historical,Publications > Electronics Books,"Reference Data for Engineers: Radio, Electronics, Computer, and Communications, Seventh Edition",Howard W. Sams / Sams,89F3101,,"Jordan, editor-in-chief",,1,99.95,Technical electronics or computer reference book listed in the Newark catalog.,25,7,High,
NWK112-0050,Newark Electronics Catalog 112,1992,Obsolete,Historical catalog listing from 1992; listing and catalog price are no longer current.,Unverified,Unverified,Historical,Publications > Electronics Books,VCR Troubleshooting and Repair Guide,Howard W. Sams / Sams,90F3468,,Brenner and Capelo,,1,19.95,Technical electronics or computer reference book listed in the Newark catalog.,25,7,High,
NWK112-0051,Newark Electronics Catalog 112,1992,Obsolete,Historical catalog listing from 1992; listing and catalog price are no longer current.,Unverified,Unverified,Historical,Publications > Engineering Digests,D.A.T.A. Digest - Digital ICs,D.A.T.A. Business Publishing / Global Engineering Documents,90F1568,DG,,,1,200.0,"41,763 devices from 141 manufacturers.",26,8,High,
NWK112-0052,Newark Electronics Catalog 112,1992,Obsolete,Historical catalog listing from 1992; listing and catalog price are no longer current.,Unverified,Unverified,Historical,Publications > Engineering Digests,D.A.T.A. Digest - Linear ICs,D.A.T.A. Business Publishing / Global Engineering Documents,81F3807,LN,,,1,200.0,"36,879 devices from 224 manufacturers.",26,8,High,
NWK112-0053,Newark Electronics Catalog 112,1992,Obsolete,Historical catalog listing from 1992; listing and catalog price are no longer current.,Unverified,Unverified,Historical,Publications > Engineering Digests,D.A.T.A. Digest - Interface ICs,D.A.T.A. Business Publishing / Global Engineering Documents,81F3805,IF,,,1,200.0,"42,736 devices from 188 manufacturers.",26,8,High,
NWK112-0054,Newark Electronics Catalog 112,1992,Obsolete,Historical catalog listing from 1992; listing and catalog price are no longer current.,Unverified,Unverified,Historical,Publications > Engineering Digests,D.A.T.A. Digest - Microprocessors,D.A.T.A. Business Publishing / Global Engineering Documents,81F3808,MP,,,1,200.0,"21,689 devices from 137 manufacturers.",26,8,High,
NWK112-0055,Newark Electronics Catalog 112,1992,Obsolete,Historical catalog listing from 1992; listing and catalog price are no longer current.,Unverified,Unverified,Historical,Publications > Engineering Digests,D.A.T.A. Digest - Memory ICs,D.A.T.A. Business Publishing / Global Engineering Documents,90F2947,MM,,,1,200.0,"59,084 devices from 142 manufacturers.",26,8,High,
NWK112-0056,Newark Electronics Catalog 112,1992,Obsolete,Historical catalog listing from 1992; listing and catalog price are no longer current.,Unverified,Unverified,Historical,Publications > Engineering Digests,Qualified Products List and Sources,D.A.T.A. Business Publishing / Global Engineering Documents,50F980,QPL,,,1,95.0,Government and defense qualified-product reference.,26,8,High,
NWK112-0057,Newark Electronics Catalog 112,1992,Obsolete,Historical catalog listing from 1992; listing and catalog price are no longer current.,Unverified,Unverified,Historical,Publications > Engineering Digests,Source of Supply,D.A.T.A. Business Publishing / Global Engineering Documents,50F981,SOS,,,1,125.0,Aerospace hardware sourcing and selection guide.,26,8,High,
NWK112-0058,Newark Electronics Catalog 112,1992,Obsolete,Historical catalog listing from 1992; listing and catalog price are no longer current.,Unverified,Unverified,Historical,Publications > Engineering Digests,IC Pinout Guide,D.A.T.A. Business Publishing / Global Engineering Documents,50F108,Pinout Guide,,,1,99.0,"Pinout reference for more than 175,000 integrated circuits.",26,8,High,
NWK112-0059,Newark Electronics Catalog 112,1992,Obsolete,Historical catalog listing from 1992; listing and catalog price are no longer current.,Unverified,Unverified,Historical,Publications > Engineering Digests,D.A.T.A. Digest - Diodes,D.A.T.A. Business Publishing / Global Engineering Documents,81F3800,DI,,,1,185.0,"167,149 devices from 196 manufacturers.",26,8,High,
NWK112-0060,Newark Electronics Catalog 112,1992,Obsolete,Historical catalog listing from 1992; listing and catalog price are no longer current.,Unverified,Unverified,Historical,Publications > Engineering Digests,D.A.T.A. Digest - Transistors,D.A.T.A. Business Publishing / Global Engineering Documents,81F3798,TR,,,1,185.0,"134,214 devices from 151 manufacturers.",26,8,High,
NWK112-0061,Newark Electronics Catalog 112,1992,Obsolete,Historical catalog listing from 1992; listing and catalog price are no longer current.,Unverified,Unverified,Historical,Publications > Engineering Digests,D.A.T.A. Digest - Thyristors,D.A.T.A. Business Publishing / Global Engineering Documents,81F3799,TY,,,1,185.0,"54,949 devices from 98 manufacturers.",26,8,High,
NWK112-0062,Newark Electronics Catalog 112,1992,Obsolete,Historical catalog listing from 1992; listing and catalog price are no longer current.,Unverified,Unverified,Historical,Publications > Engineering Digests,D.A.T.A. Digest - Power Semiconductors,D.A.T.A. Business Publishing / Global Engineering Documents,81F3814,PW,,,1,185.0,"38,000 devices from 175 manufacturers.",26,8,High,
NWK112-0063,Newark Electronics Catalog 112,1992,Obsolete,Historical catalog listing from 1992; listing and catalog price are no longer current.,Unverified,Unverified,Historical,Publications > Engineering Digests,D.A.T.A. Digest - Optoelectronics,D.A.T.A. Business Publishing / Global Engineering Documents,81F3812,OE,,,1,185.0,"36,618 devices from 179 manufacturers.",26,8,High,
NWK112-0064,Newark Electronics Catalog 112,1992,Obsolete,Historical catalog listing from 1992; listing and catalog price are no longer current.,Unverified,Unverified,Historical,Publications > Engineering Digests,High-Rel/Military Electronic Components,D.A.T.A. Business Publishing / Global Engineering Documents,90F1028,HR,,,1,180.0,Military microcircuit and device reference.,26,8,High,
NWK112-0065,Newark Electronics Catalog 112,1992,Obsolete,Historical catalog listing from 1992; listing and catalog price are no longer current.,Unverified,Unverified,Historical,Publications > Engineering Digests,Alternate Sources and Replacements: Integrated Circuits,D.A.T.A. Business Publishing / Global Engineering Documents,90F3199,ASR,,,1,130.0,"Alternate-source reference for 200,000 devices.",26,8,High,
NWK112-0066,Newark Electronics Catalog 112,1992,Obsolete,Historical catalog listing from 1992; listing and catalog price are no longer current.,Unverified,Unverified,Historical,Publications > Engineering Digests,Direct Alternate Sources: Discrete Semiconductors,D.A.T.A. Business Publishing / Global Engineering Documents,90F3200,DAR,,,1,130.0,Direct alternate-source reference.,26,8,High,
NWK112-0067,Newark Electronics Catalog 112,1992,Obsolete,Historical catalog listing from 1992; listing and catalog price are no longer current.,Unverified,Unverified,Historical,Publications > Engineering Digests,Suggested Replacements: Discrete Semiconductors,D.A.T.A. Business Publishing / Global Engineering Documents,90F3201,SAR,,,1,130.0,Suggested replacement reference.,26,8,High,
NWK112-0068,Newark Electronics Catalog 112,1992,Obsolete,Historical catalog listing from 1992; listing and catalog price are no longer current.,Unverified,Unverified,Historical,Publications > Engineering Digests,International Semiconductor Directory,D.A.T.A. Business Publishing / Global Engineering Documents,90F3202,ID,,,1,125.0,Directory of integrated circuits and discrete semiconductors.,26,8,High,
NWK112-0069,Newark Electronics Catalog 112,1992,Obsolete,Historical catalog listing from 1992; listing and catalog price are no longer current.,Unverified,Unverified,Historical,Publications > Engineering Digests,"Surface-Mounted ICs and Discretes, Two-Volume Set",D.A.T.A. Business Publishing / Global Engineering Documents,50F107,SMT,,,1,305.0,"Reference for more than 78,000 surface-mounted devices.",26,8,High,
NWK112-0070,Newark Electronics Catalog 112,1992,Obsolete,Historical catalog listing from 1992; listing and catalog price are no longer current.,Unverified,Unverified,Historical,Publications > Engineering Digests,Application Notes Directory,D.A.T.A. Business Publishing / Global Engineering Documents,81F3819,AN,,,1,90.0,"Directory of 8,200 application notes.",26,8,High,
NWK112-0071,Newark Electronics Catalog 112,1992,Obsolete,Historical catalog listing from 1992; listing and catalog price are no longer current.,Unverified,Unverified,Historical,Publications > Engineering Digests,Consolidated Index of Discontinued Devices - Integrated Circuits,D.A.T.A. Business Publishing / Global Engineering Documents,90F3203,DIC,,,1,100.0,Volume 1; discontinued integrated circuits.,26,8,High,
NWK112-0072,Newark Electronics Catalog 112,1992,Obsolete,Historical catalog listing from 1992; listing and catalog price are no longer current.,Unverified,Unverified,Historical,Publications > Engineering Digests,Consolidated Index of Discontinued Devices - Discrete Semiconductors,D.A.T.A. Business Publishing / Global Engineering Documents,90F3204,DDS,,,1,180.0,Volumes 2 and 3; discontinued discrete semiconductors.,26,8,High,
NWK112-0073,Newark Electronics Catalog 112,1992,Obsolete,Historical catalog listing from 1992; listing and catalog price are no longer current.,Unverified,Unverified,Historical,Publications > Engineering Digests,Consolidated Index of Discontinued Devices - Three-Volume Set,D.A.T.A. Business Publishing / Global Engineering Documents,90F3205,DSS,,,1,250.0,Three-volume discontinued-device set.,26,8,High,
NWK112-0074,Newark Electronics Catalog 112,1992,Obsolete,Historical catalog listing from 1992; listing and catalog price are no longer current.,Unverified,Unverified,Historical,LEDs & Indicators > LED Lenses and Mounts,"CLIPLITE T1 round lens mount, standard height",VCC / Visual Communications Company,50F6517,SML 190 RTP PKG,,Red,10,3.1,LED lens/mount package; catalog page states standard packages of 10.,187,167,High,
NWK112-0075,Newark Electronics Catalog 112,1992,Obsolete,Historical catalog listing from 1992; listing and catalog price are no longer current.,Unverified,Unverified,Historical,LEDs & Indicators > LED Lenses and Mounts,"CLIPLITE T1 round lens mount, standard height",VCC / Visual Communications Company,50F6519,SML 190 ATP PKG,,Amber,10,3.1,LED lens/mount package; catalog page states standard packages of 10.,187,167,High,
NWK112-0076,Newark Electronics Catalog 112,1992,Obsolete,Historical catalog listing from 1992; listing and catalog price are no longer current.,Unverified,Unverified,Historical,LEDs & Indicators > LED Lenses and Mounts,"CLIPLITE T1 round lens mount, standard height",VCC / Visual Communications Company,50F6518,SML 190 GTP PKG,,Green,10,3.1,LED lens/mount package; catalog page states standard packages of 10.,187,167,High,
NWK112-0077,Newark Electronics Catalog 112,1992,Obsolete,Historical catalog listing from 1992; listing and catalog price are no longer current.,Unverified,Unverified,Historical,LEDs & Indicators > LED Lenses and Mounts,"CLIPLITE T1 round lens mount, standard height",VCC / Visual Communications Company,50F6520,SML 190 YTP PKG,,Yellow,10,3.1,LED lens/mount package; catalog page states standard packages of 10.,187,167,High,
NWK112-0078,Newark Electronics Catalog 112,1992,Obsolete,Historical catalog listing from 1992; listing and catalog price are no longer current.,Unverified,Unverified,Historical,LEDs & Indicators > LED Lenses and Mounts,"CLIPLITE T1 round lens mount, standard height",VCC / Visual Communications Company,50F6521,SML 190 CTP PKG,,Clear,10,3.1,LED lens/mount package; catalog page states standard packages of 10.,187,167,High,
NWK112-0079,Newark Electronics Catalog 112,1992,Obsolete,Historical catalog listing from 1992; listing and catalog price are no longer current.,Unverified,Unverified,Historical,LEDs & Indicators > LED Lenses and Mounts,"CLIPLITE T1-3/4 round lens mount, low profile",VCC / Visual Communications Company,50F6522,SMB 200 RTP PKG,,Red,10,3.1,LED lens/mount package; catalog page states standard packages of 10.,187,167,High,
NWK112-0080,Newark Electronics Catalog 112,1992,Obsolete,Historical catalog listing from 1992; listing and catalog price are no longer current.,Unverified,Unverified,Historical,LEDs & Indicators > LED Lenses and Mounts,"CLIPLITE T1-3/4 round lens mount, low profile",VCC / Visual Communications Company,50F6524,SMB 200 ATP PKG,,Amber,10,3.1,LED lens/mount package; catalog page states standard packages of 10.,187,167,High,
