record_id,record_type,need_id,need_rank,need_path,fulfillment_id,fulfillment_class,category_original,category_group_id,page_id,product_node_id,item_name,manufacturer,model_part_number,source_uid,source_vendor,source_record_id,source_url,record_status,availability,recall_class,risk_type,problem,recommended_action,last_updated,archived,catalog_year,historical_price_usd,currency,total_cost,fulfillment_score,value_score,need_match_score,survival_value,durability,risk,evidence_score,evidence,source_language
HC-23668,product_safety_recall,need-air,1,Air / Breathable Environment / Gas Detection,need-air-gas-detection,Gas Detection,Articles de maison,product-category-need-air-gas-detection-articles-de-maison-ec6e1705,product-category-need-air-gas-detection-articles-de-maison-ec6e1705-page-001,product-hc-23668,Santé Canada rappelle aux Canadiens les dangers du monoxyde de carbone et les moyens de prévenir les intoxications,,,SRC-HC-RECALLS,Sécurité des produits de consommation,23668,https://recalls-rappels.canada.ca/fr/avis-rappel/sante-canada-rappelle-canadiens-dangers-du-monoxyde-carbone-et-moyens-prevenir,Archived recall / safety evidence,Safety evidence only — current market availability not established,,Risque physique - Risque chimique,Risque physique - Risque chimique,,2009-12-17,True,,,,,,,90,100,,85,78,Health Canada recall / safety notice,French / bilingual source
HC-53611,product_safety_recall,need-air,1,Air / Breathable Environment / Gas Detection,need-air-gas-detection,Gas Detection,Articles de maison,product-category-need-air-gas-detection-articles-de-maison-ec6e1705,product-category-need-air-gas-detection-articles-de-maison-ec6e1705-page-001,product-hc-53611,Rappel élargi : Kidde rappelle des détecteurs de fumée résidentiels et des détecteurs de fumée et de monoxyde de carbone 2 en 1,,,SRC-HC-RECALLS,Sécurité des produits de consommation,53611,https://recalls-rappels.canada.ca/fr/avis-rappel/rappel-elargi-kidde-rappelle-detecteurs-fumee-residentiels-et-detecteurs-fumee-et,Archived recall / safety evidence,Safety evidence only — current market availability not established,,,,,2015-08-19,True,,,,,,,90,100,,50,67,Health Canada recall / safety notice,French / bilingual source
HC-55762,product_safety_recall,need-air,1,Air / Breathable Environment / Gas Detection,need-air-gas-detection,Gas Detection,Articles de maison,product-category-need-air-gas-detection-articles-de-maison-ec6e1705,product-category-need-air-gas-detection-articles-de-maison-ec6e1705-page-001,product-hc-55762,Kidde rappelle les détecteurs de fumée et de monoxyde de carbone vocaux,,,SRC-HC-RECALLS,Sécurité des produits de consommation,55762,https://recalls-rappels.canada.ca/fr/avis-rappel/kidde-rappelle-detecteurs-fumee-et-monoxyde-carbone-vocaux,Archived recall / safety evidence,Safety evidence only — current market availability not established,,,,,2016-11-10,True,,,,,,,90,100,,50,67,Health Canada recall / safety notice,French / bilingual source
HC-59344,product_safety_recall,need-air,1,Air / Breathable Environment / Gas Detection,need-air-gas-detection,Gas Detection,Articles de maison,product-category-need-air-gas-detection-articles-de-maison-ec6e1705,product-category-need-air-gas-detection-articles-de-maison-ec6e1705-page-001,product-hc-59344,Certains modèles de chaudières Vitodens 200-W et Vitodens 222-F : risque d'intoxication au monoxyde de carbone,,,SRC-HC-RECALLS,Sécurité des produits de consommation,59344,https://recalls-rappels.canada.ca/fr/avis-rappel/certains-modeles-chaudieres-vitodens-200-w-et-vitodens-222-f-risque-intoxication-au,Current recall / safety evidence,Safety evidence only — current market availability not established,,,,,2019-04-25,False,,,,,,,90,100,,85,67,Health Canada recall / safety notice,French / bilingual source
HC-59167,product_safety_recall,need-air,1,Air / Breathable Environment / Gas Detection,need-air-gas-detection,Gas Detection,Articles de maison,product-category-need-air-gas-detection-articles-de-maison-ec6e1705,product-category-need-air-gas-detection-articles-de-maison-ec6e1705-page-001,product-hc-59167,Trousses d'évent pour chauffe-piscines Hayward rappelées en raison d'un risque d'empoisonnement au monoxyde de carbone,,,SRC-HC-RECALLS,Sécurité des produits de consommation,59167,https://recalls-rappels.canada.ca/fr/avis-rappel/trousses-event-pour-chauffe-piscines-hayward-rappelees-en-raison-risque-empoisonnement,Current recall / safety evidence,Safety evidence only — current market availability not established,,,,,2019-06-12,False,,,,,,,90,100,,85,67,Health Canada recall / safety notice,French / bilingual source
HC-63159,product_safety_recall,need-air,1,Air / Breathable Environment / Gas Detection,need-air-gas-detection,Gas Detection,Articles de maison,product-category-need-air-gas-detection-articles-de-maison-ec6e1705,product-category-need-air-gas-detection-articles-de-maison-ec6e1705-page-001,product-hc-63159,Détecteur combiné de fumée et de monoxyde de carbone rappelé en raison d'une possible défaillance,,,SRC-HC-RECALLS,Sécurité des produits de consommation,63159,https://recalls-rappels.canada.ca/fr/avis-rappel/detecteur-combine-fumee-et-monoxyde-carbone-rappele-en-raison-possible-defaillance,Current recall / safety evidence,Safety evidence only — current market availability not established,,Risque d’incendie,Risque d’incendie,,2020-02-19,False,,,,,,,90,100,,85,78,Health Canada recall / safety notice,French / bilingual source
HC-62410,product_safety_recall,need-air,1,Air / Breathable Environment / Gas Detection,need-air-gas-detection,Gas Detection,Articles de maison,product-category-need-air-gas-detection-articles-de-maison-ec6e1705,product-category-need-air-gas-detection-articles-de-maison-ec6e1705-page-001,product-hc-62410,"Lorsque vous achetez un détecteur de fumée ou de monoxyde de carbone, vérifiez s’il porte une marque de certification canadienne",,,SRC-HC-RECALLS,Sécurité des produits de consommation,62410,https://recalls-rappels.canada.ca/fr/avis-rappel/lorsque-vous-achetez-detecteur-fumee-ou-monoxyde-carbone-verifiez-s-il-porte-marque,Current recall / safety evidence,Safety evidence only — current market availability not established,,Risque chimique - Risque d’incendie,Risque chimique - Risque d’incendie,,2021-05-12,False,,,,,,,90,100,,85,78,Health Canada recall / safety notice,French / bilingual source
HC-62732,product_safety_recall,need-air,1,Air / Breathable Environment / Gas Detection,need-air-gas-detection,Gas Detection,Articles de maison,product-category-need-air-gas-detection-articles-de-maison-ec6e1705,product-category-need-air-gas-detection-articles-de-maison-ec6e1705-page-001,product-hc-62732,Certains modèles de chauffe-eau à gaz du fabricant Usines Giant Factories inc. rappelés en raison d’une fuite potentielle de monoxyde de carbone,,,SRC-HC-RECALLS,Sécurité des produits de consommation,62732,https://recalls-rappels.canada.ca/fr/avis-rappel/certains-modeles-chauffe-eau-gaz-du-fabricant-usines-giant-factories-inc-rappeles-en,Current recall / safety evidence,Safety evidence only — current market availability not established,,,,,2021-08-06,False,,,,,,,90,100,,50,67,Health Canada recall / safety notice,French / bilingual source
HC-64116,product_safety_recall,need-air,1,Air / Breathable Environment / Gas Detection,need-air-gas-detection,Gas Detection,Articles de maison,product-category-need-air-gas-detection-articles-de-maison-ec6e1705,product-category-need-air-gas-detection-articles-de-maison-ec6e1705-page-001,product-hc-64116,Nettoyeurs haute pression à démarrage électrique de marque DR Power et Generac.,,,SRC-HC-RECALLS,Sécurité des produits de consommation,64116,https://recalls-rappels.canada.ca/fr/avis-rappel/nettoyeurs-haute-pression-demarrage-electrique-marque-dr-power-et-generac-rappeles-en,Current recall / safety evidence,Safety evidence only — current market availability not established,,Risque d’empoisonnement,Risque d’empoisonnement,"Les consommateurs devraient cesser immédiatement d'utiliser les nettoyeurs haute pression rappelés à moins d'avoir retiré la batterie rechargeable. Ils doivent communiquer avec Generac pour qu'un revendeur autorisé remplace gratuitement le bouton marche/arrêt du nettoyeur haute pression. Il est possible de continuer à utiliser le nettoyeur haute pression si la batterie a été retirée, en se servant de l'option de démarrage manuel.Pour obtenir de plus amples renseignements, les consommateurs peuvent communiquer avec Generac par téléphone au 855-625-2933 ou consulter le site Web de l'entreprise…",2022-04-28,False,,,,,,,90,100,,85,89,Health Canada recall / safety notice,French / bilingual source
HC-64299,product_safety_recall,need-air,1,Air / Breathable Environment / Gas Detection,need-air-gas-detection,Gas Detection,Articles de maison,product-category-need-air-gas-detection-articles-de-maison-ec6e1705,product-category-need-air-gas-detection-articles-de-maison-ec6e1705-page-001,product-hc-64299,Chaudières à gaz Mini-Therm JX de LAARS,,,SRC-HC-RECALLS,Sécurité des produits de consommation,64299,https://recalls-rappels.canada.ca/fr/avis-rappel/chaudieres-gaz-mini-therm-jx-laars-rappelees-en-raison-risque-empoisonnement-au,Current recall / safety evidence,Safety evidence only — current market availability not established,,Risque d’empoisonnement,Risque d’empoisonnement,"Cesser immédiatement d’utiliser les chaudières rappelées et communiquer avec l’entreprise LAARS® Heating Systems pour planifier l’installation d’une trousse de réparation gratuite.Pour plus de renseignements, les consommateurs peuvent communiquer avec l’entreprise LAARS® Heating Systems par téléphone au 1‑888-454-3223, du lundi au vendredi de 8 h 00 à 17 h 00 HAE, par courriel à garantie@laars.com, ou visiter son site Web et cliquer sur « Avis de rappel ».Avis de rappel commun de Santé Canada, de la Commission américaine de surveillance des produits de consommation (CPSC) et de LAARS® Heating…",2022-06-30,False,,,,,,,90,100,,85,89,Health Canada recall / safety notice,French / bilingual source
HC-81632,product_safety_recall,need-air,1,Air / Breathable Environment / Gas Detection,need-air-gas-detection,Gas Detection,Articles de maison,product-category-need-air-gas-detection-articles-de-maison-ec6e1705,product-category-need-air-gas-detection-articles-de-maison-ec6e1705-page-001,product-hc-81632,Détecteur de fumée photoélectrique PureVolt,,,SRC-HC-RECALLS,Sécurité des produits de consommation,81632,https://recalls-rappels.canada.ca/fr/avis-rappel/detecteur-fumee-photoelectrique-purevolt-rappele-en-raison-possible-defaillance,Current recall / safety evidence,Safety evidence only — current market availability not established,,Produits non autorisés,Produits non autorisés,"Les consommateurs devraient cesser immédiatement d’utiliser le produit rappelé et le retourner à Addison Électronique pour un remboursement. Les consommateurs devraient remplacer le produit rappelé par un produit portant une marque de certification canadienne. Pour obtenir de plus amples renseignements, les consommateurs peuvent communiquer avec Addison Électronique par téléphone au 514-376-1740 extension 304, de 8h00 à 17h00 HNE, ou par courriel à info@addison-electronique.com.Conformément à la Loi canadienne sur la sécurité des produits de consommation, il est interdit de redistribuer, de v…",2026-02-23,False,,,,,,,90,100,,50,89,Health Canada recall / safety notice,French / bilingual source
HC-81719,product_safety_recall,need-air,1,Air / Breathable Environment / Gas Detection,need-air-gas-detection,Gas Detection,Articles de maison,product-category-need-air-gas-detection-articles-de-maison-ec6e1705,product-category-need-air-gas-detection-articles-de-maison-ec6e1705-page-001,product-hc-81719,Détecteur de fumée et de monoxyde de carbone 5 en 1 Modofo Tool,,,SRC-HC-RECALLS,Sécurité des produits de consommation,81719,https://recalls-rappels.canada.ca/fr/avis-rappel/detecteur-fumee-et-monoxyde-carbone-5-en-1-modofo-tool-rappele-en-raison-possible,Current recall / safety evidence,Safety evidence only — current market availability not established,,Produits non autorisés,Produits non autorisés,"Les consommateurs devraient cesser immédiatement d’utiliser le produit rappelé et le retourner à Modofo Tool pour un remboursement. Les consommateurs devraient remplacer le produit rappelé par un produit portant une marque de certification canadienne.Pour obtenir de plus amples renseignements, les consommateurs peuvent communiquer avec Modofo Tool par courriel à modofotoolservice@outlook.com.Conformément à la Loi canadienne sur la sécurité des produits de consommation, il est interdit de redistribuer, de vendre ou même de donner les produits rappelés au Canada.Santé Canada incite les consomma…",2026-03-12,False,,,,,,,90,100,,50,89,Health Canada recall / safety notice,French / bilingual source
HC-81904,product_safety_recall,need-air,1,Air / Breathable Environment / Gas Detection,need-air-gas-detection,Gas Detection,Articles de maison,product-category-need-air-gas-detection-articles-de-maison-ec6e1705,product-category-need-air-gas-detection-articles-de-maison-ec6e1705-page-001,product-hc-81904,Détecteur combiné de fumée et de monoxyde de carbone,,,SRC-HC-RECALLS,Sécurité des produits de consommation,81904,https://recalls-rappels.canada.ca/fr/avis-rappel/detecteur-combine-fumee-et-monoxyde-carbone-rappele-en-raison-possible-defaillance-0,Current recall / safety evidence,Safety evidence only — current market availability not established,,Produits non autorisés,Produits non autorisés,"Les consommateurs devraient cesser immédiatement d’utiliser le produit rappelé et l'éliminer conformément aux directives municipales sur les déchets dangereux. Les consommateurs devraient remplacer le produit rappelé par un produit portant une marque de certification canadienne.Pour obtenir de plus amples renseignements, les consommateurs peuvent communiquer avec NestPulse ou par courriel à 837713332@qq.com.Conformément à la Loi canadienne sur la sécurité des produits de consommation, il est interdit de redistribuer, de vendre ou même de donner les produits rappelés au Canada.Santé Canada inc…",2026-04-17,False,,,,,,,90,100,,50,89,Health Canada recall / safety notice,French / bilingual source
HC-81902,product_safety_recall,need-air,1,Air / Breathable Environment / Gas Detection,need-air-gas-detection,Gas Detection,Articles de maison,product-category-need-air-gas-detection-articles-de-maison-ec6e1705,product-category-need-air-gas-detection-articles-de-maison-ec6e1705-page-001,product-hc-81902,Détecteur de fumée autonome Ariza,,,SRC-HC-RECALLS,Sécurité des produits de consommation,81902,https://recalls-rappels.canada.ca/fr/avis-rappel/detecteur-fumee-autonome-ariza-rappele-en-raison-possible-defaillance,Current recall / safety evidence,Safety evidence only — current market availability not established,,Produits non autorisés,Produits non autorisés,"Les consommateurs devraient cesser immédiatement d’utiliser le produit rappelé et l'éliminer conformément aux directives municipales sur les déchets dangereux. Les consommateurs devraient remplacer le produit rappelé par un produit portant une marque de certification canadienne.Pour obtenir de plus amples renseignements, les consommateurs peuvent communiquer avec Security Alarm par courriel à huangzhihao@airuize.com.Conformément à la Loi canadienne sur la sécurité des produits de consommation, il est interdit de redistribuer, de vendre ou même de donner les produits rappelés au Canada.Santé C…",2026-04-17,False,,,,,,,90,100,,50,89,Health Canada recall / safety notice,French / bilingual source
HC-81903,product_safety_recall,need-air,1,Air / Breathable Environment / Gas Detection,need-air-gas-detection,Gas Detection,Articles de maison,product-category-need-air-gas-detection-articles-de-maison-ec6e1705,product-category-need-air-gas-detection-articles-de-maison-ec6e1705-page-001,product-hc-81903,Détecteur de fumée optique Wolf Shield,,,SRC-HC-RECALLS,Sécurité des produits de consommation,81903,https://recalls-rappels.canada.ca/fr/avis-rappel/detecteur-fumee-optique-wolf-shield-rappele-en-raison-possible-defaillance,Current recall / safety evidence,Safety evidence only — current market availability not established,,Produits non autorisés,Produits non autorisés,"Les consommateurs devraient cesser immédiatement d’utiliser le produit rappelé et l'éliminer conformément aux directives municipales sur les déchets dangereux. Les consommateurs devraient remplacer le produit rappelé par un produit portant une marque de certification canadienne.Pour obtenir de plus amples renseignements, les consommateurs peuvent communiquer avec FactoryDirectSmartLiving par courriel à ada@brojensecurity.com.Conformément à la Loi canadienne sur la sécurité des produits de consommation, il est interdit de redistribuer, de vendre ou même de donner les produits rappelés au Canad…",2026-04-17,False,,,,,,,90,100,,50,89,Health Canada recall / safety notice,French / bilingual source
HC-81919,product_safety_recall,need-air,1,Air / Breathable Environment / Gas Detection,need-air-gas-detection,Gas Detection,Articles de maison,product-category-need-air-gas-detection-articles-de-maison-ec6e1705,product-category-need-air-gas-detection-articles-de-maison-ec6e1705-page-001,product-hc-81919,Détecteur de fumée et de monoxyde de carbone de marque Green Scenic,,,SRC-HC-RECALLS,Sécurité des produits de consommation,81919,https://recalls-rappels.canada.ca/fr/avis-rappel/detecteur-fumee-et-monoxyde-carbone-marque-green-scenic-rappele-en-raison-possible,Current recall / safety evidence,Safety evidence only — current market availability not established,,Produits non autorisés,Produits non autorisés,"Les consommateurs devraient cesser immédiatement d’utiliser le produit rappelé et communiquer avec Green Scenic pour obtenir un remboursement. Les consommateurs devraient remplacer le produit rappelé par un produit portant une marque de certification canadienne.Pour obtenir de plus amples renseignements, les consommateurs peuvent communiquer avec Green Scenic par courriel à greenscenicbby@outlook.com.Conformément à la Loi canadienne sur la sécurité des produits de consommation, il est interdit de redistribuer, de vendre ou même de donner les produits rappelés au Canada.Santé Canada incite les…",2026-04-22,False,,,,,,,90,100,,50,89,Health Canada recall / safety notice,French / bilingual source
HC-81982,product_safety_recall,need-air,1,Air / Breathable Environment / Gas Detection,need-air-gas-detection,Gas Detection,Articles de maison,product-category-need-air-gas-detection-articles-de-maison-ec6e1705,product-category-need-air-gas-detection-articles-de-maison-ec6e1705-page-001,product-hc-81982,Détecteur de fumée photoélectrique Wi-Fi Ariza,,,SRC-HC-RECALLS,Sécurité des produits de consommation,81982,https://recalls-rappels.canada.ca/fr/avis-rappel/detecteur-fumee-photoelectrique-wi-fi-ariza-rappele-en-raison-possible-defaillance,Current recall / safety evidence,Safety evidence only — current market availability not established,,Produits non autorisés,Produits non autorisés,"Les consommateurs devraient cesser immédiatement d’utiliser le produit rappelé et communiquer avec Green Scenic pour obtenir un remboursement. Les consommateurs devraient remplacer le produit rappelé par un produit portant une marque de certification canadienne.Pour obtenir de plus amples renseignements, les consommateurs peuvent communiquer avec Security Alarm par courriel à huangzhihao@airuize.com.Conformément à la Loi canadienne sur la sécurité des produits de consommation, il est interdit de redistribuer, de vendre ou même de donner les produits rappelés au Canada.Santé Canada incite les…",2026-04-29,False,,,,,,,90,100,,50,89,Health Canada recall / safety notice,French / bilingual source
