archived,availability,catalog_year,category_group,category_group_id,category_original,currency,description,display_language,durability,evidence,evidence_score,extraction_confidence,extraction_method,fulfillment_class,fulfillment_id,fulfillment_score,historical_price_usd,item_name,last_updated,manufacturer,mapping_confidence,model_part_number,need_id,need_match_score,need_path,need_rank,page_id,part_number,product_name,product_node_id,recall_class,recommended_action,record_id,record_kind,record_status,record_type,risk,risk_type,score_status,source_file,source_language,source_page,source_record_id,source_title,source_uid,source_url,source_vendor,spec_text,survival_value,title,total_cost,tree_node_id,tree_path_ids,value_score
True,Historical/current mixed,unknown,Automotive Electrical / Connectors,pg-transport-electrical,Automotive Electrical / Connectors,,on special order cord sets.,English,85,"Waytek Automotive Electrical Supplies Catalog 220, PDF page 12",88,high,explicit_part_number,need-transportation-vehicle-electrical,need-transportation-vehicle-electrical,89,,Tapes &,unknown,Waytek,high,10240,need-transportation,90,Transportation / Vehicle Electrical,10,pg-transport-electrical-page-018,10240,Tapes &,item-cat-003433,,"Verify current equivalent, price, availability and specifications before purchase.",CAT-003433,catalog-product,Extracted English catalog record — current status and price require verification,catalog_product,15,,Provisional heuristic; recalculate from User Profile and current offer evidence.,Waytek Automotive Electrical Supplies Catalog #220 -- 6acc7f92fc951ed4c0862b279a1aaf4d -- Anna’s Archive.pdf,English,12,10240,Waytek Automotive Electrical Supplies Catalog 220,SRC-0124,,Waytek,on special order cord sets. Stock No. 10240,62,Tapes &,,pg-transport-electrical,"['human-consumer', 'human-needs', 'need-transportation', 'need-transportation-vehicle-electrical', 'pg-transport-electrical', 'pg-transport-electrical-page-018', 'item-cat-003433']",
True,Historical/current mixed,unknown,Automotive Electrical / Connectors,pg-transport-electrical,Automotive Electrical / Connectors,,Cord jacket is made from 16/3 push on/off switch. Mounting brackets Cord jacket is made from 14/3 con,English,86,"Waytek Automotive Electrical Supplies Catalog 220, PDF page 14",88,high,explicit_part_number,need-transportation-vehicle-electrical,need-transportation-vehicle-electrical,82,,Products,unknown,Waytek,high,10113,need-transportation,90,Transportation / Vehicle Electrical,10,pg-transport-electrical-page-012,10113,Products,item-cat-003444,,"Verify current equivalent, price, availability and specifications before purchase.",CAT-003444,catalog-product,Extracted English catalog record — current status and price require verification,catalog_product,20,,Provisional heuristic; recalculate from User Profile and current offer evidence.,Waytek Automotive Electrical Supplies Catalog #220 -- 6acc7f92fc951ed4c0862b279a1aaf4d -- Anna’s Archive.pdf,English,14,10113,Waytek Automotive Electrical Supplies Catalog 220,SRC-0124,,Waytek,Stock No. 10113 Cord jacket is made from 16/3 push on/off switch. Mounting brackets Cord jacket is made from 14/3 con,62,Products,,pg-transport-electrical,"['human-consumer', 'human-needs', 'need-transportation', 'need-transportation-vehicle-electrical', 'pg-transport-electrical', 'pg-transport-electrical-page-012', 'item-cat-003444']",
True,Historical/current mixed,unknown,Automotive Electrical / Connectors,pg-transport-electrical,Automotive Electrical / Connectors,,16/3 conductor SJT wire. Stock No. 10116,English,81,"Waytek Automotive Electrical Supplies Catalog 220, PDF page 14",88,high,explicit_part_number,need-transportation-vehicle-electrical,need-transportation-vehicle-electrical,89,,Products,unknown,Waytek,high,10114,need-transportation,90,Transportation / Vehicle Electrical,10,pg-transport-electrical-page-012,10114,Products,item-cat-003445,,"Verify current equivalent, price, availability and specifications before purchase.",CAT-003445,catalog-product,Extracted English catalog record — current status and price require verification,catalog_product,20,,Provisional heuristic; recalculate from User Profile and current offer evidence.,Waytek Automotive Electrical Supplies Catalog #220 -- 6acc7f92fc951ed4c0862b279a1aaf4d -- Anna’s Archive.pdf,English,14,10114,Waytek Automotive Electrical Supplies Catalog 220,SRC-0124,,Waytek,Stock No. 10114 16/3 conductor SJT wire. Stock No. 10116,62,Products,,pg-transport-electrical,"['human-consumer', 'human-needs', 'need-transportation', 'need-transportation-vehicle-electrical', 'pg-transport-electrical', 'pg-transport-electrical-page-012', 'item-cat-003445']",
True,Historical/current mixed,unknown,Automotive Electrical / Connectors,pg-transport-electrical,Automotive Electrical / Connectors,,Replacement Bulb,English,82,"Waytek Automotive Electrical Supplies Catalog 220, PDF page 14",88,high,explicit_part_number,need-transportation-vehicle-electrical,need-transportation-vehicle-electrical,89,,Stock No. 10115 Replacement Bulb,unknown,Waytek,high,10115,need-transportation,90,Transportation / Vehicle Electrical,10,pg-transport-electrical-page-014,10115,Stock No. 10115 Replacement Bulb,item-cat-003446,,"Verify current equivalent, price, availability and specifications before purchase.",CAT-003446,catalog-product,Extracted English catalog record — current status and price require verification,catalog_product,18,,Provisional heuristic; recalculate from User Profile and current offer evidence.,Waytek Automotive Electrical Supplies Catalog #220 -- 6acc7f92fc951ed4c0862b279a1aaf4d -- Anna’s Archive.pdf,English,14,10115,Waytek Automotive Electrical Supplies Catalog 220,SRC-0124,,Waytek,Stock No. 10115 Replacement Bulb,62,Stock No. 10115 Replacement Bulb,,pg-transport-electrical,"['human-consumer', 'human-needs', 'need-transportation', 'need-transportation-vehicle-electrical', 'pg-transport-electrical', 'pg-transport-electrical-page-014', 'item-cat-003446']",
True,Historical/current mixed,unknown,Automotive Electrical / Connectors,pg-transport-electrical,Automotive Electrical / Connectors,,Stock No. 10114 16/3 conductor SJT wire.,English,82,"Waytek Automotive Electrical Supplies Catalog 220, PDF page 14",88,high,explicit_part_number,need-transportation-vehicle-electrical,need-transportation-vehicle-electrical,81,,Products,unknown,Waytek,high,10116,need-transportation,90,Transportation / Vehicle Electrical,10,pg-transport-electrical-page-012,10116,Products,item-cat-003447,,"Verify current equivalent, price, availability and specifications before purchase.",CAT-003447,catalog-product,Extracted English catalog record — current status and price require verification,catalog_product,19,,Provisional heuristic; recalculate from User Profile and current offer evidence.,Waytek Automotive Electrical Supplies Catalog #220 -- 6acc7f92fc951ed4c0862b279a1aaf4d -- Anna’s Archive.pdf,English,14,10116,Waytek Automotive Electrical Supplies Catalog 220,SRC-0124,,Waytek,Stock No. 10114 16/3 conductor SJT wire. Stock No. 10116,62,Products,,pg-transport-electrical,"['human-consumer', 'human-needs', 'need-transportation', 'need-transportation-vehicle-electrical', 'pg-transport-electrical', 'pg-transport-electrical-page-012', 'item-cat-003447']",
True,Historical/current mixed,unknown,Automotive Electrical / Connectors,pg-transport-electrical,Automotive Electrical / Connectors,,"Complete system, with caster options. Wire not included.",English,86,"Waytek Automotive Electrical Supplies Catalog 220, PDF page 15",88,high,explicit_part_number,need-transportation-vehicle-electrical,need-transportation-vehicle-electrical,86,,Terms &,unknown,Waytek,high,523,need-transportation,90,Transportation / Vehicle Electrical,10,pg-transport-electrical-page-019,523,Terms &,item-cat-003448,,"Verify current equivalent, price, availability and specifications before purchase.",CAT-003448,catalog-product,Extracted English catalog record — current status and price require verification,catalog_product,14,,Provisional heuristic; recalculate from User Profile and current offer evidence.,Waytek Automotive Electrical Supplies Catalog #220 -- 6acc7f92fc951ed4c0862b279a1aaf4d -- Anna’s Archive.pdf,English,15,523,Waytek Automotive Electrical Supplies Catalog 220,SRC-0124,,Waytek,"Stock No. 524 Stock No. 523 Complete system, with caster options. Wire not included.",62,Terms &,,pg-transport-electrical,"['human-consumer', 'human-needs', 'need-transportation', 'need-transportation-vehicle-electrical', 'pg-transport-electrical', 'pg-transport-electrical-page-019', 'item-cat-003448']",
True,Historical/current mixed,unknown,Automotive Electrical / Connectors,pg-transport-electrical,Automotive Electrical / Connectors,,"Stock No. 523 Complete system, with caster options. Wire not included.",English,78,"Waytek Automotive Electrical Supplies Catalog 220, PDF page 15",88,high,explicit_part_number,need-transportation-vehicle-electrical,need-transportation-vehicle-electrical,81,,Terms &,unknown,Waytek,high,524,need-transportation,90,Transportation / Vehicle Electrical,10,pg-transport-electrical-page-019,524,Terms &,item-cat-003449,,"Verify current equivalent, price, availability and specifications before purchase.",CAT-003449,catalog-product,Extracted English catalog record — current status and price require verification,catalog_product,26,,Provisional heuristic; recalculate from User Profile and current offer evidence.,Waytek Automotive Electrical Supplies Catalog #220 -- 6acc7f92fc951ed4c0862b279a1aaf4d -- Anna’s Archive.pdf,English,15,524,Waytek Automotive Electrical Supplies Catalog 220,SRC-0124,,Waytek,"Stock No. 524 Stock No. 523 Complete system, with caster options. Wire not included.",62,Terms &,,pg-transport-electrical,"['human-consumer', 'human-needs', 'need-transportation', 'need-transportation-vehicle-electrical', 'pg-transport-electrical', 'pg-transport-electrical-page-019', 'item-cat-003449']",
True,Historical/current mixed,unknown,Automotive Electrical / Connectors,pg-transport-electrical,Automotive Electrical / Connectors,,UPS or FedEx.,English,79,"Waytek Automotive Electrical Supplies Catalog 220, PDF page 15",88,high,explicit_part_number,need-transportation-vehicle-electrical,need-transportation-vehicle-electrical,81,,Tapes &,unknown,Waytek,high,525,need-transportation,90,Transportation / Vehicle Electrical,10,pg-transport-electrical-page-018,525,Tapes &,item-cat-003450,,"Verify current equivalent, price, availability and specifications before purchase.",CAT-003450,catalog-product,Extracted English catalog record — current status and price require verification,catalog_product,25,,Provisional heuristic; recalculate from User Profile and current offer evidence.,Waytek Automotive Electrical Supplies Catalog #220 -- 6acc7f92fc951ed4c0862b279a1aaf4d -- Anna’s Archive.pdf,English,15,525,Waytek Automotive Electrical Supplies Catalog 220,SRC-0124,,Waytek,Stock No. 525 UPS or FedEx.,62,Tapes &,,pg-transport-electrical,"['human-consumer', 'human-needs', 'need-transportation', 'need-transportation-vehicle-electrical', 'pg-transport-electrical', 'pg-transport-electrical-page-018', 'item-cat-003450']",
True,Historical/current mixed,unknown,Automotive Electrical / Connectors,pg-transport-electrical,Automotive Electrical / Connectors,,Stock No. 612,English,83,"Waytek Automotive Electrical Supplies Catalog 220, PDF page 15",88,high,explicit_part_number,need-transportation-vehicle-electrical,need-transportation-vehicle-electrical,81,,Stock No. 612,unknown,Waytek,high,612,need-transportation,90,Transportation / Vehicle Electrical,10,pg-transport-electrical-page-018,612,Stock No. 612,item-cat-003451,,"Verify current equivalent, price, availability and specifications before purchase.",CAT-003451,catalog-product,Extracted English catalog record — current status and price require verification,catalog_product,20,,Provisional heuristic; recalculate from User Profile and current offer evidence.,Waytek Automotive Electrical Supplies Catalog #220 -- 6acc7f92fc951ed4c0862b279a1aaf4d -- Anna’s Archive.pdf,English,15,612,Waytek Automotive Electrical Supplies Catalog 220,SRC-0124,,Waytek,Stock No. 612,62,Stock No. 612,,pg-transport-electrical,"['human-consumer', 'human-needs', 'need-transportation', 'need-transportation-vehicle-electrical', 'pg-transport-electrical', 'pg-transport-electrical-page-018', 'item-cat-003451']",
True,Historical/current mixed,unknown,Automotive Electrical / Connectors,pg-transport-electrical,Automotive Electrical / Connectors,,Hand Tool,English,82,"Waytek Automotive Electrical Supplies Catalog 220, PDF page 20",88,high,explicit_part_number,need-transportation-vehicle-electrical,need-transportation-vehicle-electrical,82,,Hand Tool Stock No. 496,unknown,Waytek,high,496,need-transportation,90,Transportation / Vehicle Electrical,10,pg-transport-electrical-page-012,496,Hand Tool Stock No. 496,item-cat-003452,,"Verify current equivalent, price, availability and specifications before purchase.",CAT-003452,catalog-product,Extracted English catalog record — current status and price require verification,catalog_product,16,,Provisional heuristic; recalculate from User Profile and current offer evidence.,Waytek Automotive Electrical Supplies Catalog #220 -- 6acc7f92fc951ed4c0862b279a1aaf4d -- Anna’s Archive.pdf,English,20,496,Waytek Automotive Electrical Supplies Catalog 220,SRC-0124,,Waytek,Hand Tool Stock No. 496,62,Hand Tool Stock No. 496,,pg-transport-electrical,"['human-consumer', 'human-needs', 'need-transportation', 'need-transportation-vehicle-electrical', 'pg-transport-electrical', 'pg-transport-electrical-page-012', 'item-cat-003452']",
True,Historical/current mixed,unknown,Automotive Electrical / Connectors,pg-transport-electrical,Automotive Electrical / Connectors,,.250 Connector .250 Connector,English,82,"Waytek Automotive Electrical Supplies Catalog 220, PDF page 21",88,high,explicit_part_number,need-transportation-vehicle-electrical,need-transportation-vehicle-electrical,81,,Stock No. 31017 .250 Connector .250 Connector,unknown,Waytek,high,31017,need-transportation,90,Transportation / Vehicle Electrical,10,pg-transport-electrical-page-015,31017,Stock No. 31017 .250 Connector .250 Connector,item-cat-003453,,"Verify current equivalent, price, availability and specifications before purchase.",CAT-003453,catalog-product,Extracted English catalog record — current status and price require verification,catalog_product,22,,Provisional heuristic; recalculate from User Profile and current offer evidence.,Waytek Automotive Electrical Supplies Catalog #220 -- 6acc7f92fc951ed4c0862b279a1aaf4d -- Anna’s Archive.pdf,English,21,31017,Waytek Automotive Electrical Supplies Catalog 220,SRC-0124,,Waytek,Stock No. 31017 .250 Connector .250 Connector,62,Stock No. 31017 .250 Connector .250 Connector,,pg-transport-electrical,"['human-consumer', 'human-needs', 'need-transportation', 'need-transportation-vehicle-electrical', 'pg-transport-electrical', 'pg-transport-electrical-page-015', 'item-cat-003453']",
True,Historical/current mixed,unknown,Automotive Electrical / Connectors,pg-transport-electrical,Automotive Electrical / Connectors,,Stock No. 38021,English,83,"Waytek Automotive Electrical Supplies Catalog 220, PDF page 21",88,high,explicit_part_number,need-transportation-vehicle-electrical,need-transportation-vehicle-electrical,84,,Stock No. 31052 Stock No. 38021,unknown,Waytek,high,31052,need-transportation,90,Transportation / Vehicle Electrical,10,pg-transport-electrical-page-015,31052,Stock No. 31052 Stock No. 38021,item-cat-003454,,"Verify current equivalent, price, availability and specifications before purchase.",CAT-003454,catalog-product,Extracted English catalog record — current status and price require verification,catalog_product,21,,Provisional heuristic; recalculate from User Profile and current offer evidence.,Waytek Automotive Electrical Supplies Catalog #220 -- 6acc7f92fc951ed4c0862b279a1aaf4d -- Anna’s Archive.pdf,English,21,31052,Waytek Automotive Electrical Supplies Catalog 220,SRC-0124,,Waytek,Stock No. 31052 Stock No. 38021,62,Stock No. 31052 Stock No. 38021,,pg-transport-electrical,"['human-consumer', 'human-needs', 'need-transportation', 'need-transportation-vehicle-electrical', 'pg-transport-electrical', 'pg-transport-electrical-page-015', 'item-cat-003454']",
