NID,Titre,URL,Organization,Produit,Problème,"Ce que vous devriez faire",Catégorie,"Classe de rappel","Dernière mise à jour",Archivé
77545,"Rappel de Galettes de crevettes panées surgelées et Rouleau de crevettes tempura congelé de marque North Shore Fishery en raison de la présence non déclarée d’œufs, de soja et du lait",https://recalls-rappels.canada.ca/fr/avis-rappel/rappel-galettes-crevettes-panees-surgelees-et-rouleau-crevettes-tempura-congele-marque,ACIA,"Galettes de crevettes panées surgelées,  Rouleau de crevettes tempura congelé","Œufs - Soja - Lait","Vérifiez si vous avez des produits visés par un rappel.Ne consommez pas des produits visés par un rappel et auxquels vous êtes allergique ou sensible puisqu'ils pourraient entraîner une réaction grave, voire mortelle.Des produits visés par un rappel ne doivent pas être utilisés, vendus, servis ou distribués.Des produits visés par un rappel devraient être jetés ou rapportés au lieu où ils ont été achetés.En savoir plus :Renseignez-vous davantage sur les allergies les plus courantesAbonnez-vous aux avis de rappel par courriel, suivez-nous dans les médias sociauxVenez voir notre explication détaillée du processus d'enquête sur la salubrité alimentaire et de rappel d'alimentsSignalez un incident lié à la salubrité ou l'étiquetage d'un aliment",Congelés,"Classe 1",2025-06-04,0
77550,"Rappel de deux lots de contraceptifs oraux Seasonale en raison de comprimés placebos supplémentaires",https://recalls-rappels.canada.ca/fr/avis-rappel/rappel-deux-lots-contraceptifs-oraux-seasonale-en-raison-comprimes-placebos,"Direction générale des communications et des affaires publiques","Seasonale (comprimés contenant 0,15 mg de lévonorgestrel et 0,03 mg d’éthinylestradiol) (DIN 02296659)","Qualité du produit","  N'arrêtez pas de prendre Seasonale. Prenez tous les comprimés actifs (roses) jusqu'à la dernière rangée du plateau&nbsp;3 (qui contient les comprimés placébos [blancs]).  Vérifiez votre emballage. S'il contient des comprimés placébos (blancs) dans les plaquettes alvéolées du plateau&nbsp;1 ou 2, ne les prenez pas et retournez le produit à votre pharmacie pour obtenir un remplacement ou un produit alternatif.  Si vous ne pouvez pas vous rendre immédiatement à la pharmacie, prenez le comprimé actif (rose) suivant dans l'ordre indiqué sur l'emballage jusqu'à ce que vous puissiez contacter votre pharmacien et obtenir un remplacement ou un produit alternatif.  Si vous ne savez pas si votre emballage contient les bons comprimés, parlez à votre pharmacien.  Si vous avez pris un comprimé placébo (blanc) plutôt qu'un comprimé actif (rose) des plateaux&nbsp;1 ou 2, ou en cas de doute, vous devriez également recourir à une autre méthode contraceptive non hormonale (comme des condoms) et consulter votre professionnel de la santé.  Consultez un professionnel de la santé si vous avez d'autres questions ou préoccupations au sujet de votre produit contraceptif.  Communiquez avec Teva Canada Ltée en composant sans frais le 1-800-268-4127, option&nbsp;3, ou par courriel à druginfo@tevacanada.com si vous avez des questions au sujet de ce rappel.Signalez tout&nbsp;effet secondaire&nbsp;ou&nbsp;plainte&nbsp;liée à un produit de santé à Santé Canada.",Médicaments,,2025-06-04,0
75774,"Panel BCID2 (Blood Culture Identification 2) de Biofire",https://recalls-rappels.canada.ca/fr/avis-rappel/panel-bcid2-blood-culture-identification-2-biofire,"Instruments médicaux","Panel BCID2 (Blood Culture Identification 2) de Biofire",Rendement,,"Matériel de chimie","Type II",2025-06-03,0
77540,"Composantes Q-LINK 13 et ensembles d’adaptateur LikoScale",https://recalls-rappels.canada.ca/fr/avis-rappel/composantes-q-link-13-et-ensembles-adaptateur-likoscale,"Instruments médicaux","Composantes Q-LINK 13 et ensembles d’adaptateur LikoScale",Rendement,,"Produits d’usage personnel et d’usage hospitalier général","Type I",2025-06-03,0
77551,"Numéro de rappel de Transports Canada - 2025276 - NLB CORPORATION",https://recalls-rappels.canada.ca/fr/avis-rappel/numero-rappel-transports-canada-2025276-nlb-corporation,TC,"Matériel rappelé par NLB CORPORATION",Moteur,,Matériel,,2025-06-03,0
77552,"Numéro de rappel de Transports Canada - 2025279 - FORD",https://recalls-rappels.canada.ca/fr/avis-rappel/numero-rappel-transports-canada-2025279-ford,TC,"Camionnette et fourgonnette rappelé par FORD","Feux et instruments",,"Camionnette et fourgonnette",,2025-06-03,0
77553,"Numéro de rappel de Transports Canada - 2025280 - FORD",https://recalls-rappels.canada.ca/fr/avis-rappel/numero-rappel-transports-canada-2025280-ford,TC,"Véhicule utilitaire-sport rappelé par FORD","Feux et instruments",,"Véhicule utilitaire-sport",,2025-06-03,0
72316,"Numéro de rappel de Transports Canada - 2022668 - LAND ROVER",https://recalls-rappels.canada.ca/fr/avis-rappel/numero-rappel-transports-canada-2022668-land-rover,TC,"Véhicule utilitaire-sport rappelé par LAND ROVER",Suspension,,"Véhicule utilitaire-sport",,2025-06-02,0
77419,"Numéro de rappel de Transports Canada - 2025227 - INTERNATIONAL MOTORS",https://recalls-rappels.canada.ca/fr/avis-rappel/numero-rappel-transports-canada-2025227-international-motors,TC,"Camion - usage moyen et usage intensif rappelé par INTERNATIONAL MOTORS","Système visuel",,"Camion - usage moyen et usage intensif",,2025-06-02,0
77511,"Cônes de henné « Arooj » rappelés en raison d’un risque chimique ",https://recalls-rappels.canada.ca/fr/avis-rappel/cones-henne-arooj-rappeles-en-raison-risque-chimique,"Sécurité des produits de consommation","Cônes de henné « Arooj »","Risque chimique","Les consommateurs devraient cesser immédiatement d’utiliser les produits rappelés et les jeter dans les ordures ménagères.Pour obtenir de plus amples renseignements, les consommateurs peuvent communiquer avec EAPAK Corporation par téléphone au 514-858-6116, du lundi au vendredi, de 9h à 17h (heure de l'Est) ou par courriel à eapak@bell.net. Veuillez noter qu'en plus des exigences du Règlement sur les cosmétiques, la Loi sur les aliments et drogues (LAD) interdit la vente de cosmétiques qui sont faits de substances dangereuses ou dans des conditions non hygiéniques, aux utilisateurs au Canada.Santé Canada incite les consommateurs à signaler tout incident touchant la santé ou la sécurité lié à ce produit ou à tout autre produit de consommation ou cosmétique en remplissant le formulaire de rapport d'incident concernant un produit de consommation.Ce rappel est également affiché sur le site du Portail global de l'OCDE sur les rappels de produits, qui présente d’autres renseignements sur les rappels de produit de consommation internationaux.","Cosmétiques et produits de soins personnels",,2025-06-02,0
77517,"Dandinettes d'ensembles de cannes à pêche et moulinets de la marque Discovery rappelées en raison de la présence excessive de plomb",https://recalls-rappels.canada.ca/fr/avis-rappel/dandinettes-ensembles-cannes-peche-et-moulinets-marque-discovery-rappelees-en-raison,"Sécurité des produits de consommation","Dandinettes d'ensembles de cannes à pêche et moulinets de la marque Discovery ","Risque chimique","Les consommateurs devraient cesser immédiatement d’utiliser les ensembles de cannes à pêche et moulinets rappelés et communiquer avec Lil Anglers pour obtenir un remboursement&nbsp;pour la dandinette.Pour obtenir de plus amples renseignements, les consommateurs peuvent communiquer avec Lil Anglers par téléphone au numéro sans frais 844-347-4543, 8h00 à 16h30, HNC, du lundi au vendredi, par courriel à info@anything-possible.com, ou consulter le site Web de l’entreprise&nbsp;à&nbsp;https://www.kidcastersrecall.com&nbsp;ou&nbsp;https://www.kidscasters.com et cliquez sur ""Informations de rappel"".Conformément à la Loi canadienne sur la sécurité des produits de consommation, il est interdit de redistribuer, de vendre ou même de donner les produits rappelés au Canada.Santé Canada incite les consommateurs à signaler tout incident touchant la santé ou la sécurité lié à ce produit ou à tout autre produit de consommation ou cosmétique en remplissant le formulaire de rapport d'incident concernant un produit de consommation.Ce rappel est également affiché sur le site du Portail global de l'OCDE sur les rappels de produits, qui présente d’autres renseignements sur les rappels de produit de consommation internationaux.","Produits de plein air",,2025-06-02,0
77536,"Sanis-Moxifloxacine solution; Problème de stérilité",https://recalls-rappels.canada.ca/fr/avis-rappel/sanis-moxifloxacine-solution-probleme-sterilite,"Médicaments et produits de santé","Sanis-Moxifloxacine solution","Qualité du produit","Vérifiez si votre produit est touché.Consultez votre fournisseur de soins de santé avant de cesser d’utiliser le ou les produits touchés, ou pour toute préoccupation quant à votre santé.Communiquez avec l’entreprise effectuant le rappel si vous avez des questions sur le rappel.Signalez tout&nbsp;effet secondaire&nbsp;lié à un produit de santé à Santé&nbsp;Canada.Signalez toute autre&nbsp;plainte&nbsp;relative à l’innocuité d’un produit de santé à Santé&nbsp;Canada.",Médicaments,"Type II",2025-06-02,0
77539,"Rappel de « Power Cap » Tube de glace de melon d'eau de marque Binggrae en raison de la présence non déclarée de lait",https://recalls-rappels.canada.ca/fr/avis-rappel/rappel-power-cap-tube-glace-melon-eau-marque-binggrae-en-raison-presence-non-declaree-0,ACIA,"« Power Cap » Tube de glace de melon d'eau",Lait,,Autres,"Classe 2",2025-06-02,0
77546,"Numéro de rappel de Transports Canada - 2025289 - LAND ROVER",https://recalls-rappels.canada.ca/fr/avis-rappel/numero-rappel-transports-canada-2025289-land-rover,TC,"Véhicule utilitaire-sport rappelé par LAND ROVER",Suspension,,"Véhicule utilitaire-sport",,2025-06-02,0
77444,"Divers détecteurs de radon de la marque Life Basis rappelés en raison de détection imprécise du radon",https://recalls-rappels.canada.ca/fr/avis-rappel/divers-detecteurs-radon-marque-life-basis-rappeles-en-raison-detection-imprecise-du,"Sécurité des produits de consommation","Divers détecteurs de radon de la marque Life Basis","Risque chimique","Les consommateurs devraient cesser immédiatement d'utiliser l’appareil électronique de surveillance du radon Life Basis faisant l'objet de ce rappel et l'éliminer conformément aux directives municipales locales sur les déchets électroniques. Les consommateurs peuvent contacter Life Basis pour plus d'informations.&nbsp;Les consommateurs ne devraient acheter que des appareils électroniques de surveillance du radon qui ont réussi les épreuves de comportement du Programme national de compétence sur le radon au Canada (PNCR-C), le programme canadien de certification du radon reconnu par Santé Canada. Santé Canada fournit des conseils pour mesurer la concentration de radon dans les maisons : Guide pour la mesure du radon dans les maisons - Canada.ca. Pour en savoir plus sur les façons de mesurer le niveau de radon dans leur maison à l'aide d’un détecteur de radon approuvé et sur la façon d’en réduire la concentration si elle est élevée, les consommateurs sont invités à consulter le site Web suivant : Occupe-toi du radon.Pour obtenir de plus amples renseignements, les consommateurs peuvent communiquer avec Life Basis par courriel&nbsp;à&nbsp;joullius@outlook.com.&nbsp; Conformément à la Loi canadienne sur la sécurité des produits de consommation, il est interdit de redistribuer, de vendre ou même de donner les produits rappelés au Canada.Santé Canada incite les consommateurs à signaler tout incident touchant la santé ou la sécurité lié à ce produit ou à tout autre produit de consommation ou cosmétique en remplissant le formulaire de rapport d'incident concernant un produit de consommation.Ce rappel est également affiché sur le site du Portail global de l'OCDE sur les rappels de produits, qui présente d’autres renseignements sur les rappels de produit de consommation internationaux.","Produits électroniques",,2025-05-30,0
77461,"Détecteur de radon WiFi InkBird modèle RD2 rappelé en raison de détection imprécise du radon",https://recalls-rappels.canada.ca/fr/avis-rappel/detecteur-radon-wifi-inkbird-modele-rd2-rappele-en-raison-detection-imprecise-du-radon,"Sécurité des produits de consommation","Détecteur de radon WiFi InkBird modèle RD2","Risque chimique","Les consommateurs devraient cesser immédiatement d'utiliser l’appareil électronique de surveillance du radon Inkbird faisant l'objet de ce rappel et communiquer avec InkBird pour obtenir un remboursement complet.Les consommateurs ne devraient acheter que des appareils électroniques de surveillance du radon qui ont réussi les épreuves de comportement du Programme national de compétence sur le radon au Canada (PNCR-C), le programme canadien de certification du radon reconnu par Santé Canada. Santé Canada fournit des conseils pour mesurer la concentration de radon dans les maisons : Guide pour la mesure du radon dans les maisons - Canada.ca.&nbsp; Pour en savoir plus sur les façons de mesurer le niveau de radon dans leur maison à l’aide d’un détecteur de radon approuvé et sur la façon d’en réduire la concentration si elle est élevée, les consommateurs sont invités à consulter le site Web suivant : Occupe-toi du radon. &nbsp;&nbsp;&nbsp;Pour de plus amples informations, les consommateurs peuvent contacter Inkbird par courriel à&nbsp;support@inkbird.com.Conformément à la Loi canadienne sur la sécurité des produits de consommation, il est interdit de redistribuer, de vendre ou même de donner les produits rappelés au Canada.Santé Canada incite les consommateurs à signaler tout incident touchant la santé ou la sécurité lié à ce produit ou à tout autre produit de consommation ou cosmétique en remplissant le formulaire de rapport d'incident concernant un produit de consommation.Ce rappel est également affiché sur le site du Portail global de l'OCDE sur les rappels de produits, qui présente d’autres renseignements sur les rappels de produit de consommation internationaux.","Produits électroniques",,2025-05-30,0
77516,"JAMP-RISPERIDONE: pourrait contenir des particules de matière étrangère",https://recalls-rappels.canada.ca/fr/avis-rappel/jamp-risperidone-pourrait-contenir-particules-matiere-etrangere,"Médicaments et produits de santé",JAMP-RISPERIDONE,"Sécurité des produits","Vérifiez si votre produit est touché.Consultez votre fournisseur de soins de santé avant de cesser d’utiliser le ou les produits touchés, ou pour toute préoccupation quant à votre santé.Communiquez avec l’entreprise effectuant le rappel si vous avez des questions sur le rappel.Signalez tout&nbsp;effet secondaire&nbsp;lié à un produit de santé à Santé&nbsp;Canada.Signalez toute autre&nbsp;plainte&nbsp;relative à l’innocuité d’un produit de santé à Santé&nbsp;Canada.",Médicaments,"Type III",2025-05-30,0
77525,"Numéro de rappel de Transports Canada - 2025261 - MICHELIN",https://recalls-rappels.canada.ca/fr/avis-rappel/numero-rappel-transports-canada-2025261-michelin,TC,"Pneu rappelé par MICHELIN",Pneus,,Pneu,,2025-05-30,0
77527,"Numéro de rappel de Transports Canada - 2025265 - ISUZU",https://recalls-rappels.canada.ca/fr/avis-rappel/numero-rappel-transports-canada-2025265-isuzu,TC,"Camion - usage moyen et usage intensif rappelé par ISUZU","Haute tension",,"Camion - usage moyen et usage intensif",,2025-05-30,0
77529,"Numéro de rappel de Transports Canada - 2025268 - MERCEDES-BENZ",https://recalls-rappels.canada.ca/fr/avis-rappel/numero-rappel-transports-canada-2025268-mercedes-benz,TC,"Véhicule utilitaire-sport rappelé par MERCEDES-BENZ","Système visuel",,"Véhicule utilitaire-sport",,2025-05-30,0
77532,"Numéro de rappel de Transports Canada - 2025272 - VOLKSWAGEN",https://recalls-rappels.canada.ca/fr/avis-rappel/numero-rappel-transports-canada-2025272-volkswagen,TC,"Véhicule utilitaire-sport rappelé par VOLKSWAGEN","Système visuel",,"Véhicule utilitaire-sport",,2025-05-30,0
77533,"Numéro de rappel de Transports Canada - 2025292 - JAYCO",https://recalls-rappels.canada.ca/fr/avis-rappel/numero-rappel-transports-canada-2025292-jayco,TC,"Caravane rappelé par JAYCO",Étiquette,,Caravane,,2025-05-30,0
76817,"Numéro de rappel de Transports Canada - 2024778 - FORD",https://recalls-rappels.canada.ca/fr/avis-rappel/numero-rappel-transports-canada-2024778-ford,TC,"Camionnette et fourgonnette rappelé par FORD",Suspension,,"Camionnette et fourgonnette",,2025-05-29,0
77282,"Chapeau haut-de-forme My First Snowman rappelé en raison d'un risque d’étouffement ",https://recalls-rappels.canada.ca/fr/avis-rappel/chapeau-haut-forme-my-first-snowman-rappele-en-raison-risque-etouffement,"Sécurité des produits de consommation","Chapeau haut-de-forme My First Snowman de Step2","Risque d’étouffement","Les consommateurs devraient cesser immédiatement d’utiliser le jouet My First Snowman rappelé et son Chapeau haut-de-forme, et fournir à l’entreprise une photo du code de date sous le rebord du chapeau avant de le jeter. L’entreprise fournira aux consommateurs qui s’inscrivent au rappel un chapeau haut-de-forme de remplacement fabriqué à partir de matériaux différents.&nbsp;&nbsp;&nbsp; Pour obtenir de plus amples renseignements, les consommateurs peuvent communiquer avec The Step2 Company LLC par téléphone au 1-800-347-8372, de 8h00 a 17h00 HNE, lundi au vendredi,&nbsp;par courriel à step2-company@step2.net, ou consulter le site Web de l’entreprise.Avis de rappel conjoint de Santé Canada, de la Commission américaine de surveillance des produits de consommation (CPSC) et de The Step2 Company LLC.Conformément à la Loi canadienne sur la sécurité des produits de consommation, il est interdit de redistribuer, de vendre ou même de donner les produits rappelés au Canada.Santé Canada incite les consommateurs à signaler tout incident touchant la santé ou la sécurité lié à ce produit ou à tout autre produit de consommation ou cosmétique en remplissant le formulaire de rapport d'incident concernant un produit de consommation.Ce rappel est également affiché sur le site du Portail global de l'OCDE sur les rappels de produits, qui présente d’autres renseignements sur les rappels de produit de consommation internationaux.","Jouets et jeux",,2025-05-29,0
